Name,Organization,Year Elected,Residency,Status
Charles M. de Talleyrand-Perigord,APS,1796,International,Member
Luis de Urbina,APS,1796,International,Member
James Woodhouse,APS,1796,Resident,Member
William Bache,APS,1797,Resident,Member
Samuel Blair,APS,1797,Resident,Member
John Guillemard,APS,1797,International,Member
William Hamilton,APS,1797,Resident,Member
John Heckewilder,APS,1797,Resident,Member
Andrews Everardus Van Braam Houckgeest,APS,1797,Resident,Member
Thomas C. James,APS,1797,Resident,Member
Alexander Martin,APS,1797,Resident,Member
Theo. C. Mozard,APS,1797,International,Member
John Newnan,APS,1797,Resident,Member
Thomas Pinckney,APS,1797,Resident,Member
Adam Seybert,APS,1797,Resident,Member
Rich P. Smith,APS,1797,Resident,Member
Samuel H. Smith,APS,1797,Resident,Member
John Stuart,APS,1797,Resident,Member
Comte Constantin F. Chasseboeuf de Volney,APS,1797,International,Member
Johann F. Blumenbach,APS,1798,International,Member
Julian U. Niemcewicz,APS,1798,International,Member
William Patterson,APS,1798,International,Member
Giambattista Scandella,APS,1798,International,Member
Franz A. von Zach,APS,1798,International,Member
William Boys,APS,1799,Resident,Member
Joseph Clay,APS,1799,Resident,Member
John R. Coxe,APS,1799,Resident,Member
Samuel Elam,APS,1799,Resident,Member
Benjamin H. Latrobe,APS,1799,Resident,Member
William Maclure,APS,1799,Resident,Member
Thomas P. Smith,APS,1799,Resident,Member
Justus E. Bollmann,APS,1800,Resident,Member
Samuel Brown,APS,1800,Resident,Member
William Dunbar,APS,1800,Resident,Member
Sir Robert Liston,APS,1800,International,Member
Samuel Miller,APS,1800,Resident,Member
Pierre S. du Pont de Nemours,APS,1800,International,Member
John R. Smith,APS,1800,Resident,Member
Francis Blanchet,APS,1801,International,Member
Samuel Falberg,APS,1801,International,Member
Jose J. de Ferrer,APS,1801,International,Member
Thomas T. Hewson,APS,1801,Resident,Member
William Jones,APS,1801,International,Member
Robert R. Livingston,APS,1801,Resident,Member
Gustav Paykull,APS,1801,International,Member
Fran Peyrolon,APS,1801,International,Member
Alexander Ramirez,APS,1801,International,Member
William Barnwell,APS,1802,Resident,Member
John Church,APS,1802,Resident,Member
Thomas Cooper,APS,1802,Resident,Member
Valentin de Foronda,APS,1802,Resident,Member
John Garnett,APS,1802,Resident,Member
Marquis de C.M. Martinez Casa Irujo,APS,1802,International,Member
William S. Jacobs,APS,1802,Resident,Member
Philippe R. Roume de St. Laurent,APS,1802,International,Member
Phillippe J. Letsom,APS,1802,International,Member
James Mease,APS,1802,Resident,Member
Peter B. Olsen,APS,1802,International,Member
Philip S. Physick,APS,1802,Resident,Member
Jarvis Roebuck,APS,1802,International,Member
William Roxburgh,APS,1802,International,Member
Benjamin Dearborn,APS,1803,Resident,Member
Jean B.J. Delambre,APS,1803,International,Member
Robert Gilmore,APS,1803,Resident,Member
Robert Hare,APS,1803,Resident,Member
Meriwether Lewis,APS,1803,Resident,Member
Dan Melanderhjelm,APS,1803,International,Member
Francis Nichols,APS,1803,International,Member
Eric Prosperin,APS,1803,International,Member
David Ramsay,APS,1803,Resident,Member
Benjamin Thompson,APS,1803,International,Member
Pedro Caevallos,APS,1804,International,Member
Antonio J. Cavanilles,APS,1804,International,Member
Zaccheus Collins,APS,1804,Resident,Member
Joshua Gilpin,APS,1804,Resident,Member
